Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
col7a1 gene	 Dominant/Recessive
collagen alpha-1(vii) chain	 Dominant/Recessive
col7a1 protein, human	 Dominant/Recessive
hyperkalemia (>6.2 mm in both dominant and recessive)	 Dominant/Recessive
pseudohypoaldosteronism, type iid, autosomal dominant or recessive	 Dominant/Recessive
Lattice corneal dystrophy Type III	corneal dystrophy, lattice type 3,,lattice corneal dystrophy, type iii of right eye,,lattice corneal dystrophy, type iii of left eye,,lattice corneal dystrophy, type iii of bilateral eyes
corneal dystrophy, lattice type 3	Lattice corneal dystrophy Type III
lattice corneal dystrophy, type iii of right eye	Lattice corneal dystrophy Type III
lattice corneal dystrophy, type iii of left eye	Lattice corneal dystrophy Type III
lattice corneal dystrophy, type iii of bilateral eyes	Lattice corneal dystrophy Type III
Epileptic encephalopathy, early infantile, 23	developmental and epileptic encephalopathy 23
developmental and epileptic encephalopathy 23	Epileptic encephalopathy, early infantile, 23
Congenital disorder of glycosylation type 1C	congenital disorder of glycosylation type 1c
congenital disorder of glycosylation type 1c	Congenital disorder of glycosylation type 1C
Congenital disorder of glycosylation type 1t	glycogen storage disease xiv
LEPTIN RECEPTOR POLYMORPHISM	leptin receptor polymorphism
leptin receptor polymorphism	LEPTIN RECEPTOR POLYMORPHISM
Leptin receptor deficiency	leptin receptor deficiency,,obesity due to leptin receptor gene deficiency
leptin receptor deficiency	Leptin receptor deficiency
obesity due to leptin receptor gene deficiency	Leptin receptor deficiency
Monogenic Non-Syndromic Obesity	no results
Monogenic diabetes	monogenic diabetes,,maturity-onset diabetes of the young, type iv (disorder),,maturity-onset diabetes of the young, type 3 (disorder),,maturity-onset diabetes of the young, type 1,,maturity-onset diabetes of the young, type 6 (disorder),,transcription factor-associated monogenic diabetes,,renal cysts and diabetes syndrome
monogenic diabetes	Monogenic diabetes
maturity-onset diabetes of the young, type iv (disorder)	Monogenic diabetes
maturity-onset diabetes of the young, type 3 (disorder)	Monogenic diabetes
maturity-onset diabetes of the young, type 1	Monogenic diabetes
maturity-onset diabetes of the young, type 6 (disorder)	Monogenic diabetes
transcription factor-associated monogenic diabetes	Monogenic diabetes
renal cysts and diabetes syndrome	Monogenic diabetes
Obesity	obesity,,obesity, ctcae,,body mass index quantitative trait locus 20,,no obesity,,morbid obesity,,primary obesity,,localized adiposity,,jejunocecostomy for obesity,,jejunocolostomy for obesity,,buffalo obesity,,fear of becoming fat,,obesity sensation,,pectoral obesity,,thigh obesity,,encounter due to screening for obesity,,hyperalimentation and obesity,,lifelong obesity,,obesity of endocrine origin,,hypogonadal obesity,,hypothyroid obesity,,hypothalamic obesity,,leptin,,obesity, abdominal,,android obesity,,gynecoid obesity
obesity	Obesity
obesity, ctcae	Obesity
body mass index quantitative trait locus 20	Obesity
no obesity	Obesity
morbid obesity	Obesity
primary obesity	Obesity
localized adiposity	Obesity
jejunocecostomy for obesity	Obesity
jejunocolostomy for obesity	Obesity
buffalo obesity	Obesity
fear of becoming fat	Obesity
obesity sensation	Obesity
pectoral obesity	Obesity
thigh obesity	Obesity
encounter due to screening for obesity	Obesity
hyperalimentation and obesity	Obesity
lifelong obesity	Obesity
obesity of endocrine origin	Obesity
hypogonadal obesity	Obesity
hypothyroid obesity	Obesity
hypothalamic obesity	Obesity
leptin	Obesity
obesity, abdominal	Obesity
android obesity	Obesity
gynecoid obesity	Obesity
Inflammatory bowel disease 17, protection against	inflammatory bowel disease 17, protection against
inflammatory bowel disease 17, protection against	Inflammatory bowel disease 17, protection against
Psoriasis, protection against	psoriasis, protection against
psoriasis, protection against	Psoriasis, protection against
Leber congenital amaurosis 2	leber congenital amaurosis, type ii (disorder),,leber congenital amaurosis 2 (lca2) gene anomaly detection reagents
leber congenital amaurosis, type ii (disorder)	Leber congenital amaurosis 2,,Leber congenital amaurosis
leber congenital amaurosis 2 (lca2) gene anomaly detection reagents	Leber congenital amaurosis 2
Retinitis pigmentosa 20	retinitis pigmentosa 20,,retinitis pigmentosa type 20 gene mutation reagents,,retinitis pigmentosa 20 (rp20) gene anomaly detection reagents
retinitis pigmentosa 20	Retinitis pigmentosa 20,, Retinitis pigmentosa 20
retinitis pigmentosa type 20 gene mutation reagents	Retinitis pigmentosa 20,, Retinitis pigmentosa 20
retinitis pigmentosa 20 (rp20) gene anomaly detection reagents	Retinitis pigmentosa 20,, Retinitis pigmentosa 20
 Retinitis pigmentosa 20	retinitis pigmentosa 20,,retinitis pigmentosa type 20 gene mutation reagents,,retinitis pigmentosa 20 (rp20) gene anomaly detection reagents
Retinitis pigmentosa	retinitis pigmentosa,,no retinitis pigmentosa,,retinitis pigmentosa 1,,usher syndrome,,tapetoretinal dystrophy,,autosomal dominant retinitis pigmentosa,,autosomal recessive retinitis pigmentosa,,leber congenital amaurosis,,x-linked retinitis pigmentosa,,rp2 protein, human,,neuropathy ataxia and retinis pigmentosa,,pde6a gene,,rp23 gene,,retinitis pigmentosa 28,,rpgr gene,,klhl7 gene,,usher syndrome, type i,,retinitis pigmentosa 18,,retinitis pigmentosa 17,,retinitis pigmentosa 27,,retinitis pigmentosa 33 (disorder),,retinitis pigmentosa 31,,retinitis pigmentosa 32 (disorder),,retinitis pigmentosa 11,,retinitis pigmentosa 14
retinitis pigmentosa	Retinitis pigmentosa
no retinitis pigmentosa	Retinitis pigmentosa
retinitis pigmentosa 1	Retinitis pigmentosa
usher syndrome	Retinitis pigmentosa
tapetoretinal dystrophy	Retinitis pigmentosa
autosomal dominant retinitis pigmentosa	Retinitis pigmentosa,, autosomal dominant
leber congenital amaurosis	Retinitis pigmentosa,,Leber congenital amaurosis
x-linked retinitis pigmentosa	Retinitis pigmentosa
rp2 protein, human	Retinitis pigmentosa,,Retinitis Pigmentosa, Recessive
neuropathy ataxia and retinis pigmentosa	Retinitis pigmentosa
pde6a gene	Retinitis pigmentosa
rp23 gene	Retinitis pigmentosa
retinitis pigmentosa 28	Retinitis pigmentosa
rpgr gene	Retinitis pigmentosa
klhl7 gene	Retinitis pigmentosa
usher syndrome, type i	Retinitis pigmentosa
retinitis pigmentosa 18	Retinitis pigmentosa
retinitis pigmentosa 17	Retinitis pigmentosa
retinitis pigmentosa 27	Retinitis pigmentosa
retinitis pigmentosa 33 (disorder)	Retinitis pigmentosa
retinitis pigmentosa 31	Retinitis pigmentosa
retinitis pigmentosa 32 (disorder)	Retinitis pigmentosa
retinitis pigmentosa 11	Retinitis pigmentosa
retinitis pigmentosa 14	Retinitis pigmentosa
Leber congenital amaurosis	leber congenital amaurosis,,nmnat1 gene,,spata7 gene,,lca5 gene,,leber congenital amaurosis 9 (disorder),,leber congenital amaurosis 11,,leber congenital amaurosis 6 (disorder),,leber congenital amaurosis 12 (disorder),,leber congenital amaurosis 10 (disorder),,leber congenital amaurosis 5,,leber congenital amaurosis 4,,leber congenital amaurosis 3 (disorder),,leber congenital amaurosis, type ii (disorder),,leber congenital amaurosis 13,,leber congenital amaurosis 14,,amaurosis congenita of leber, type 1,,leber congenital amaurosis 7,,leber congenital amaurosis 8,,leber congenital amaurosis 15,,leber congenital amaurosis 16,,leber congenital amaurosis 17,,leber congenital amaurosis 18,,leber congenital amaurosis 19,,aipl1 protein, human,,lca5l gene
spata7 gene	Leber congenital amaurosis
lca5 gene	Leber congenital amaurosis
leber congenital amaurosis 11	Leber congenital amaurosis
leber congenital amaurosis 6 (disorder)	Leber congenital amaurosis
leber congenital amaurosis 12 (disorder)	Leber congenital amaurosis
leber congenital amaurosis 10 (disorder)	Leber congenital amaurosis
leber congenital amaurosis 5	Leber congenital amaurosis
leber congenital amaurosis 4	Leber congenital amaurosis
leber congenital amaurosis 3 (disorder)	Leber congenital amaurosis
leber congenital amaurosis 13	Leber congenital amaurosis
leber congenital amaurosis 14	Leber congenital amaurosis
amaurosis congenita of leber, type 1	Leber congenital amaurosis
leber congenital amaurosis 7	Leber congenital amaurosis
leber congenital amaurosis 8	Leber congenital amaurosis
leber congenital amaurosis 15	Leber congenital amaurosis
leber congenital amaurosis 16	Leber congenital amaurosis
leber congenital amaurosis 17	Leber congenital amaurosis
leber congenital amaurosis 18	Leber congenital amaurosis
leber congenital amaurosis 19	Leber congenital amaurosis
aipl1 protein, human	Leber congenital amaurosis
lca5l gene	Leber congenital amaurosis
Joubert syndrome 9	joubert syndrome 9 (disorder),,joubert syndrome 9/15, digenic
joubert syndrome 9 (disorder)	Joubert syndrome 9
joubert syndrome 9/15, digenic	Joubert syndrome 9
Cystathioninuria	cystathioninuria,,gamma-cystathionase deficiency,,cystathioninuria (lab finding)
cystathioninuria	Cystathioninuria
gamma-cystathionase deficiency	Cystathioninuria
cystathioninuria (lab finding)	Cystathioninuria
Homocysteine, total plasma, elevated	no results
cystathioninuria (disease)	no results
Medium-chain acyl-coenzyme A dehydrogenase deficiency	medium-chain acyl-coenzyme a dehydrogenase deficiency,,suspected medium-chain acyl-coenzyme a dehydrogenase deficiency,,medium-chain acyl-coenzyme a dehydrogenase deficiency not suspected,,medium-chain acyl-coenzyme a dehydrogenase deficiency screening test declined,,medium-chain acyl-coenzyme a dehydrogenase deficiency screening test,,medium chain acyl-coenzyme a dehydrogenase deficiency (mcad) gene mutation detection reagents,,medium-chain acyl-coenzyme a dehydrogenase deficiency (mcadd) gene anomaly detection reagents
medium-chain acyl-coenzyme a dehydrogenase deficiency	Medium-chain acyl-coenzyme A dehydrogenase deficiency,,medium chain acyl-CoA dehydrogenase deficiency
suspected medium-chain acyl-coenzyme a dehydrogenase deficiency	Medium-chain acyl-coenzyme A dehydrogenase deficiency
medium-chain acyl-coenzyme a dehydrogenase deficiency not suspected	Medium-chain acyl-coenzyme A dehydrogenase deficiency
medium-chain acyl-coenzyme a dehydrogenase deficiency screening test declined	Medium-chain acyl-coenzyme A dehydrogenase deficiency
medium-chain acyl-coenzyme a dehydrogenase deficiency screening test	Medium-chain acyl-coenzyme A dehydrogenase deficiency
medium chain acyl-coenzyme a dehydrogenase deficiency (mcad) gene mutation detection reagents	Medium-chain acyl-coenzyme A dehydrogenase deficiency
medium-chain acyl-coenzyme a dehydrogenase deficiency (mcadd) gene anomaly detection reagents	Medium-chain acyl-coenzyme A dehydrogenase deficiency
medium chain acyl-CoA dehydrogenase deficiency	medium-chain acyl-coenzyme a dehydrogenase deficiency,,medium &or short chain acyl-coa dehydrogenase deficiency,,medium &or short chain acyl-coa dehydrogenase deficiency:imp:pt:bld.dot:nom,,acyl-coa dehydrogenase medium chain deficiency of gene anomaly detection reagents,,carnitine deficiency secondary to medium-chain acyl-coa dehydrogenase deficiency gene anomaly detection reagents,,newborn screen for medium/short chain acyl-coa dehydrogenase deficiency in dried blood spot interpretation,,medium/short chain acyl-coa dehydrogenase deficiency &#x7c; dbs &#x7c; chemistry - non-challenge
medium &or short chain acyl-coa dehydrogenase deficiency	medium chain acyl-CoA dehydrogenase deficiency
medium &or short chain acyl-coa dehydrogenase deficiency:imp:pt:bld.dot:nom	medium chain acyl-CoA dehydrogenase deficiency
acyl-coa dehydrogenase medium chain deficiency of gene anomaly detection reagents	medium chain acyl-CoA dehydrogenase deficiency
carnitine deficiency secondary to medium-chain acyl-coa dehydrogenase deficiency gene anomaly detection reagents	medium chain acyl-CoA dehydrogenase deficiency
newborn screen for medium/short chain acyl-coa dehydrogenase deficiency in dried blood spot interpretation	medium chain acyl-CoA dehydrogenase deficiency
medium/short chain acyl-coa dehydrogenase deficiency &#x7c; dbs &#x7c; chemistry - non-challenge	medium chain acyl-CoA dehydrogenase deficiency
Dilated cardiomyopathy 1CC	cardiomyopathy, dilated, 1cc
cardiomyopathy, dilated, 1cc	Dilated cardiomyopathy 1CC
 Familial hypertrophic cardiomyopathy 20	cardiomyopathy, familial hypertrophic, 20
cardiomyopathy, familial hypertrophic, 20	 Familial hypertrophic cardiomyopathy 20
hypertrophic cardiomyopathy	hypertrophic cardiomyopathy,,hypertrophic cardiomyopathy,,no hypertrophic cardiomyopathy,,hypertrophic obstructive cardiomyopathy,,concentric hypertrophic cardiomyopathy,,primary idiopathic hypertrophic cardiomyopathy,,hypertrophic cardiomyopathy without obstruction,,other hypertrophic cardiomyopathy,,feline hypertrophic cardiomyopathy,,canine hypertrophic cardiomyopathy,,hypertrophic cardiomyopathy secondary to hyperthyroidism,,cardiomyopathy, hypertrophic, familial,,hypertrophic; cardiomyopathy, obstructive, congenital,,myh6 gene,,tnnt2 gene,,tpm1 gene,,cardiomyopathy, familial hypertrophic, 6 (disorder),,cardiomyopathy, familial hypertrophic, 10,,cardiomyopathy, familial hypertrophic, 8,,cardiomyopathy, familial hypertrophic, 7,,cardiomyopathy, familial hypertrophic, 9,,familial hypertrophic cardiomyopathy type 4,,cardiomyopathy, familial hypertrophic, 3 (disorder),,cardiomyopathy, familial hypertrophic, 2,,myl3 gene (procedure),,cardiomyopathy, familial hypertrophic, 12,,Cardiomyopathy
no hypertrophic cardiomyopathy	hypertrophic cardiomyopathy
hypertrophic obstructive cardiomyopathy	hypertrophic cardiomyopathy
concentric hypertrophic cardiomyopathy	hypertrophic cardiomyopathy
primary idiopathic hypertrophic cardiomyopathy	hypertrophic cardiomyopathy
hypertrophic cardiomyopathy without obstruction	hypertrophic cardiomyopathy
other hypertrophic cardiomyopathy	hypertrophic cardiomyopathy
feline hypertrophic cardiomyopathy	hypertrophic cardiomyopathy
canine hypertrophic cardiomyopathy	hypertrophic cardiomyopathy
hypertrophic cardiomyopathy secondary to hyperthyroidism	hypertrophic cardiomyopathy
cardiomyopathy, hypertrophic, familial	hypertrophic cardiomyopathy
hypertrophic; cardiomyopathy, obstructive, congenital	hypertrophic cardiomyopathy
myh6 gene	hypertrophic cardiomyopathy
tnnt2 gene	hypertrophic cardiomyopathy
tpm1 gene	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 6 (disorder)	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 10	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 8	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 7	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 9	hypertrophic cardiomyopathy
familial hypertrophic cardiomyopathy type 4	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 3 (disorder)	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 2	hypertrophic cardiomyopathy
myl3 gene (procedure)	hypertrophic cardiomyopathy
cardiomyopathy, familial hypertrophic, 12	hypertrophic cardiomyopathy
Cardiomyopathy	cardiomyopathies,,family history: cardiomyopathy (situation),,no cardiomyopathy,,cardiomyopathy, dilated,,cardiomyopathy, alcoholic,,hypertrophic cardiomyopathy,,restrictive cardiomyopathy,,chagas cardiomyopathy,,cardiomyopathies, primary,,myocardial diseases, secondary,,round heart disease,,nonobstructive cardiomyopathy,,familial cardiomyopathy,,dilated cardiomyopathy secondary to viral myocarditis,,dilated cardiomyopathy secondary to metabolic disorder,,dilated cardiomyopathy secondary to nutritive deficiency,,cobalt cardiomyopathy,,restrictive cardiomyopathy secondary to infiltrations,,senile cardiac amyloidosis,,postpartum cardiomyopathy,,mucopolysaccharidosis cardiomyopathy,,dystrophic cardiomyopathy,,ischemic cardiomyopathy,,arrhythmogenic right ventricular dysplasia,,cardiomyopathy acute
cardiomyopathies	Cardiomyopathy
family history: cardiomyopathy (situation)	Cardiomyopathy
no cardiomyopathy	Cardiomyopathy
restrictive cardiomyopathy	Cardiomyopathy
chagas cardiomyopathy	Cardiomyopathy
cardiomyopathies, primary	Cardiomyopathy
myocardial diseases, secondary	Cardiomyopathy
round heart disease	Cardiomyopathy
nonobstructive cardiomyopathy	Cardiomyopathy
familial cardiomyopathy	Cardiomyopathy
dilated cardiomyopathy secondary to viral myocarditis	Cardiomyopathy
dilated cardiomyopathy secondary to metabolic disorder	Cardiomyopathy
dilated cardiomyopathy secondary to nutritive deficiency	Cardiomyopathy
cobalt cardiomyopathy	Cardiomyopathy
restrictive cardiomyopathy secondary to infiltrations	Cardiomyopathy
senile cardiac amyloidosis	Cardiomyopathy
postpartum cardiomyopathy	Cardiomyopathy
mucopolysaccharidosis cardiomyopathy	Cardiomyopathy
dystrophic cardiomyopathy	Cardiomyopathy
ischemic cardiomyopathy	Cardiomyopathy
arrhythmogenic right ventricular dysplasia	Cardiomyopathy
cardiomyopathy acute	Cardiomyopathy
Premature ventricular contraction	premature ventricular contractions,,premature ventricular contraction, ctcae
premature ventricular contractions	Premature ventricular contraction
premature ventricular contraction, ctcae	Premature ventricular contraction
Glomuvenous malformations	glomuvenous malformations
glomuvenous malformations	Glomuvenous malformations
 autosomal dominant	autosomal dominant inheritance,,autosomal dominant multiple pterygium syndrome,,congenital ocular coloboma (disorder),,hereditary sensory autonomic neuropathy, type 1,,machado-joseph disease,,polycystic kidney, autosomal dominant,,autosomal dominant trait,,macrocephaly, benign familial,,microcephaly autosomal dominant,,senter syndrome,,autosomal dominant hereditary disorder,,cutis laxa, autosomal dominant,,familial cerebral amyloid angiopathy,,autosomal dominant oculocutaneous albinism,,autosomal dominant excess of transthyretin,,autosomal dominant analbuminemia,,optic atrophy 1,,autosomal dominant retinitis pigmentosa,,maturity onset diabetes mellitus in young,,hypoparathyroidism - autosomal dominant,,autosomal dominant hypophosphatemic rickets,,autosomal dominant mutilating keratoderma,,benign autosomal dominant microcephaly,,brachyolmia type 3,,worth disease
congenital ocular coloboma (disorder)	 autosomal dominant
hereditary sensory autonomic neuropathy, type 1	 autosomal dominant
machado-joseph disease	 autosomal dominant
polycystic kidney, autosomal dominant	 autosomal dominant
autosomal dominant trait	 autosomal dominant
macrocephaly, benign familial	 autosomal dominant
microcephaly autosomal dominant	 autosomal dominant
senter syndrome	 autosomal dominant
autosomal dominant hereditary disorder	 autosomal dominant
cutis laxa, autosomal dominant	 autosomal dominant
familial cerebral amyloid angiopathy	 autosomal dominant
autosomal dominant oculocutaneous albinism	 autosomal dominant
autosomal dominant excess of transthyretin	 autosomal dominant
autosomal dominant analbuminemia	 autosomal dominant
optic atrophy 1	 autosomal dominant
maturity onset diabetes mellitus in young	 autosomal dominant
hypoparathyroidism - autosomal dominant	 autosomal dominant
autosomal dominant hypophosphatemic rickets	 autosomal dominant
autosomal dominant mutilating keratoderma	 autosomal dominant
benign autosomal dominant microcephaly	 autosomal dominant
brachyolmia type 3	 autosomal dominant
worth disease	 autosomal dominant
Severe congenital neutropenia 2, autosomal dominant	neutropenia, severe congenital, autosomal dominant 2
neutropenia, severe congenital, autosomal dominant 2	Severe congenital neutropenia 2, autosomal dominant,,Severe congenital neutropenia
Severe congenital neutropenia	congenital neutropenia,,severe congenital neutropenia,,neutropenia, severe congenital, autosomal dominant 2,,neutropenia, severe congenital, x-linked,,autosomal dominant severe congenital neutropenia,,autosomal recessive severe congenital neutropenia due to g6pc3 deficiency,,neutropenia, severe congenital, autosomal recessive 3,,neutropenia, severe congenital, autosomal dominant 1,,neutropenia, severe congenital, autosomal recessive 4,,neutropenia, severe congenital, 5, autosomal recessive,,neutropenia, severe congenital, 6, autosomal recessive,,neutropenia, severe congenital, 7, autosomal recessive,,neutropenia, severe congenital, 8, autosomal dominant,,x-linked severe congenital neutropenia gene anomaly detection reagents,,autosomal recessive severe congenital neutropenia due to jagn1 deficiency,,autosomal recessive severe congenital neutropenia due to cxcr2 deficiency,,autosomal recessive severe congenital neutropenia due to csf3r deficiency
congenital neutropenia	Severe congenital neutropenia
severe congenital neutropenia	Severe congenital neutropenia
neutropenia, severe congenital, x-linked	Severe congenital neutropenia
autosomal dominant severe congenital neutropenia	Severe congenital neutropenia
autosomal recessive severe congenital neutropenia due to g6pc3 deficiency	Severe congenital neutropenia
neutropenia, severe congenital, autosomal recessive 3	Severe congenital neutropenia
neutropenia, severe congenital, autosomal dominant 1	Severe congenital neutropenia
neutropenia, severe congenital, autosomal recessive 4	Severe congenital neutropenia
neutropenia, severe congenital, 5, autosomal recessive	Severe congenital neutropenia
neutropenia, severe congenital, 6, autosomal recessive	Severe congenital neutropenia
neutropenia, severe congenital, 8, autosomal dominant	Severe congenital neutropenia
x-linked severe congenital neutropenia gene anomaly detection reagents	Severe congenital neutropenia
autosomal recessive severe congenital neutropenia due to jagn1 deficiency	Severe congenital neutropenia
autosomal recessive severe congenital neutropenia due to cxcr2 deficiency	Severe congenital neutropenia
autosomal recessive severe congenital neutropenia due to csf3r deficiency	Severe congenital neutropenia
Diamond-Blackfan anemia	aase syndrome,,anemia, diamond-blackfan,,rps19 gene,,rps19 wt allele,,anemia, diamond-blackfan, 2,,anemia, diamond-blackfan, 3,,diamond-blackfan anemia 8,,diamond-blackfan anemia 7,,diamond-blackfan anemia 5,,diamond-blackfan anemia 4,,diamond-blackfan anemia 1,,history of diamond-blackfan anemia,,diamond-blackfan anemia 10,,diamond-blackfan anemia 9,,aase smith syndrome 2,,diamond-blackfan anemia 11,,diamond-blackfan anemia 12,,diamond-blackfan anemia 13,,diamond-blackfan anemia 16,,diamond-blackfan anemia 17,,diamond-blackfan anemia-like,,diamond-blackfan anemia 18,,diamond-blackfan anemia 19,,diamond-blackfan anemia 20,,diamond-blackfan anemia with microtia and cleft palate
aase syndrome	Diamond-Blackfan anemia
anemia, diamond-blackfan	Diamond-Blackfan anemia
rps19 gene	Diamond-Blackfan anemia
rps19 wt allele	Diamond-Blackfan anemia
anemia, diamond-blackfan, 2	Diamond-Blackfan anemia
anemia, diamond-blackfan, 3	Diamond-Blackfan anemia
diamond-blackfan anemia 8	Diamond-Blackfan anemia
diamond-blackfan anemia 7	Diamond-Blackfan anemia
diamond-blackfan anemia 5	Diamond-Blackfan anemia
diamond-blackfan anemia 4	Diamond-Blackfan anemia
diamond-blackfan anemia 1	Diamond-Blackfan anemia
history of diamond-blackfan anemia	Diamond-Blackfan anemia
diamond-blackfan anemia 10	Diamond-Blackfan anemia
diamond-blackfan anemia 9	Diamond-Blackfan anemia
aase smith syndrome 2	Diamond-Blackfan anemia,,Diamond-Blackfan anemia 6
diamond-blackfan anemia 11	Diamond-Blackfan anemia
diamond-blackfan anemia 12	Diamond-Blackfan anemia
diamond-blackfan anemia 13	Diamond-Blackfan anemia
diamond-blackfan anemia 16	Diamond-Blackfan anemia
diamond-blackfan anemia 17	Diamond-Blackfan anemia
diamond-blackfan anemia-like	Diamond-Blackfan anemia
diamond-blackfan anemia 18	Diamond-Blackfan anemia
diamond-blackfan anemia 19	Diamond-Blackfan anemia
diamond-blackfan anemia 20	Diamond-Blackfan anemia
diamond-blackfan anemia with microtia and cleft palate	Diamond-Blackfan anemia
Diamond-Blackfan anemia 6	aase smith syndrome 2
Macular degeneration	macular degeneration,,age related macular degeneration,,cystoid macular retinal degeneration,,nonexudative age-related macular degeneration,,exudative age-related macular degeneration,,stargardt\'s disease,,vitelliform macular dystrophy,,familial pseudoinflammatory macular degeneration,,behr,,choroidal neovascularization,,myopic macular degeneration,,fibrovascular macular scar,,macular & posterior pole degeneration,,senile macular degeneration, disciform,,drusen stage macular degeneration,,geographic atrophy,,obtains macular degeneration screening,,hypotrichosis, congenital, with juvenile macular dystrophy,,classic exudative macular degeneration,,minimally classic exudative macular degeneration,,occult exudative macular degeneration,,stable occult exudative macular degeneration,,unstable occult exudative macular degeneration,,predominantly classic exudative macular degeneration,,atrophic nonexudative macular degeneration
macular degeneration	Macular degeneration,,Macular dystrophy
age related macular degeneration	Macular degeneration
cystoid macular retinal degeneration	Macular degeneration
nonexudative age-related macular degeneration	Macular degeneration
exudative age-related macular degeneration	Macular degeneration
stargardt\'s disease	Macular degeneration,,Stargardt disease
vitelliform macular dystrophy	Macular degeneration,,Macular dystrophy
familial pseudoinflammatory macular degeneration	Macular degeneration
behr	Macular degeneration
choroidal neovascularization	Macular degeneration
myopic macular degeneration	Macular degeneration
fibrovascular macular scar	Macular degeneration
macular & posterior pole degeneration	Macular degeneration
senile macular degeneration, disciform	Macular degeneration
drusen stage macular degeneration	Macular degeneration
geographic atrophy	Macular degeneration
obtains macular degeneration screening	Macular degeneration
hypotrichosis, congenital, with juvenile macular dystrophy	Macular degeneration,,Cone/cone-rod dystrophy,,Cone dystrophy
classic exudative macular degeneration	Macular degeneration
minimally classic exudative macular degeneration	Macular degeneration
occult exudative macular degeneration	Macular degeneration
stable occult exudative macular degeneration	Macular degeneration
unstable occult exudative macular degeneration	Macular degeneration
predominantly classic exudative macular degeneration	Macular degeneration
atrophic nonexudative macular degeneration	Macular degeneration
Cone-Rod Dystrophy, Recessive	no results
Stargardt Disease, Recessive	no results
Retinitis Pigmentosa, Recessive	autosomal recessive retinitis pigmentosa,,arl2bp gene,,eys gene,,cerkl gene,,fam161a gene,,ceramide kinase-like protein,,retinitis pigmentosa 4, autosomal recessive,,ofd1 gene,,rp2 gene,,retinitis pigmentosa 6 (disorder),,retinitis pigmentosa 46,,ofd1 wt allele,,ivd panels, human genetics, eye disorder, retinopathy, retinitis pigmentosa, autosomal recessive,,autosomal recessive posterior column ataxia and retinitis pigmentosa,,rp2 protein, human,,rp2 wt allele,,ivd panels, human genetics, eye disorder, retinopathy, retinitis pigmentosa, autosomal recessive, del/dup,,ivd panels, human genetics, eye disorder, retinopathy, retinitis pigmentosa, autosomal recessive, mutation,,autosomal recessive leukoencephalopathy, ischemic stroke, retinitis pigmentosa syndrome
arl2bp gene	Retinitis Pigmentosa, Recessive
eys gene	Retinitis Pigmentosa, Recessive
cerkl gene	Retinitis Pigmentosa, Recessive
fam161a gene	Retinitis Pigmentosa, Recessive
ceramide kinase-like protein	Retinitis Pigmentosa, Recessive
retinitis pigmentosa 4, autosomal recessive	Retinitis Pigmentosa, Recessive
ofd1 gene	Retinitis Pigmentosa, Recessive
rp2 gene	Retinitis Pigmentosa, Recessive
retinitis pigmentosa 6 (disorder)	Retinitis Pigmentosa, Recessive
retinitis pigmentosa 46	Retinitis Pigmentosa, Recessive
ofd1 wt allele	Retinitis Pigmentosa, Recessive
ivd panels, human genetics, eye disorder, retinopathy, retinitis pigmentosa, autosomal recessive	Retinitis Pigmentosa, Recessive
autosomal recessive posterior column ataxia and retinitis pigmentosa	Retinitis Pigmentosa, Recessive
rp2 wt allele	Retinitis Pigmentosa, Recessive
ivd panels, human genetics, eye disorder, retinopathy, retinitis pigmentosa, autosomal recessive, del/dup	Retinitis Pigmentosa, Recessive
ivd panels, human genetics, eye disorder, retinopathy, retinitis pigmentosa, autosomal recessive, mutation	Retinitis Pigmentosa, Recessive
autosomal recessive leukoencephalopathy, ischemic stroke, retinitis pigmentosa syndrome	Retinitis Pigmentosa, Recessive
ABCA4-Related Disorders	no results
